Instrument ID:HP3458A
120000 55 55 21845
120002 AA AA -21846
120004 00 00 0
120006 00 16 22
120008 00 00 0
12000A 00 00 0
12000C 23 50 9040
12000E 43 3D 17213
120010 30 35 12341
120012 41 32 16690
120014 45 34 17716
120016 2C 30 11312
120018 30 30 12336
12001A 30 31 12337
12001C 36 20 13856
12001E 20 20 8224
120020 20 30 8240
120022 38 2D 14381
120024 42 75 17013
120026 73 20 29472
120028 45 72 17778
12002A 72 6F 29295
12002C 72 2D 29229
12002E 2D 2D 11565
120030 00 00 0
120032 00 00 0
120034 50 A0 20640
120036 26 0E 9742
120038 94 52 -27566
12003A 30 D5 12501
12003C 00 00 0
12003E 00 80 128
120040 00 00 0
120042 00 00 0
120044 76 49 30281
120046 00 AA 170
120048 64 DE 25822
12004A 04 04 1028
12004C 4E F9 20217
12004E 00 00 0
120050 04 BE 1214
120052 4E F9 20217
120054 00 00 0
120056 04 F0 1264
120058 4E F9 20217
12005A 00 00 0
12005C 04 F8 1272
12005E 4E F9 20217
120060 00 00 0
120062 05 00 1280
120064 4E F9 20217
120066 00 00 0
120068 05 08 1288
12006A 4E F9 20217
12006C 00 00 0
12006E 05 10 1296
120070 4E F9 20217
120072 00 00 0
120074 05 18 1304
120076 4E F9 20217
120078 00 00 0
12007A 05 20 1312
12007C 4E F9 20217
12007E 00 00 0
120080 05 28 1320
120082 4E F9 20217
120084 00 00 0
120086 05 30 1328
120088 4E F9 20217
12008A 00 00 0
12008C 05 38 1336
12008E 4E F9 20217
120090 00 00 0
120092 05 38 1336
120094 4E F9 20217
120096 00 00 0
120098 7E 48 32328
12009A 4E F9 20217
12009C 00 02 2
12009E B3 84 -19580
1200A0 4E F9 20217
1200A2 00 02 2
1200A4 B3 2E -19666
1200A6 4E F9 20217
1200A8 00 00 0
1200AA 7E AA 32426
1200AC 4E F9 20217
1200AE 00 05 5
1200B0 03 3C 828
1200B2 4E F9 20217
1200B4 00 00 0
1200B6 07 20 1824
1200B8 4E F9 20217
1200BA 00 01 1
1200BC 81 BA -32326
1200BE 4E F9 20217
1200C0 00 01 1
1200C2 81 BE -32322
1200C4 4E F9 20217
1200C6 00 01 1
1200C8 81 C6 -32314
1200CA 4E F9 20217
1200CC 00 01 1
1200CE 81 C2 -32318
1200D0 4E F9 20217
1200D2 00 01 1
1200D4 92 DA -27942
1200D6 4E F9 20217
1200D8 00 05 5
1200DA 9E 2E -25042
1200DC 4E F9 20217
1200DE 00 00 0
1200E0 81 02 -32510
1200E2 4E F9 20217
1200E4 00 00 0
1200E6 81 18 -32488
1200E8 4E F9 20217
1200EA 00 00 0
1200EC 05 38 1336
1200EE 4E F9 20217
1200F0 00 00 0
1200F2 05 38 1336
1200F4 4E F9 20217
1200F6 00 05 5
1200F8 A3 24 -23772
1200FA 4E F9 20217
1200FC 00 00 0
1200FE 05 38 1336
120100 4E F9 20217
120102 00 00 0
120104 05 38 1336
120106 4E F9 20217
120108 00 05 5
12010A CD 34 -13004
12010C 4E F9 20217
12010E 00 00 0
120110 05 38 1336
120112 00 00 0
120114 F1 34 -3788
120116 14 A2 5282
120118 00 12 18
12011A FF FE -2
12011C 00 12 18
12011E 2B 22 11042
120120 00 12 18
120122 2C 22 11298
120124 04 12 1042
120126 2D 22 11554
120128 04 12 1042
12012A 2D A2 11682
12012C 00 12 18
12012E 2C A2 11426
120130 04 12 1042
120132 2E A2 11938
120134 04 12 1042
120136 2E 22 11810
120138 01 00 256
12013A 00 08 8
12013C 00 00 0
12013E 00 60 96
120140 00 00 0
120142 00 00 0
120144 00 00 0
120146 00 00 0
120148 00 00 0
12014A 00 00 0
12014C 00 00 0
12014E 00 00 0
120150 00 00 0
120152 00 00 0
120154 51 18 20760
120156 81 76 -32394
120158 C4 52 -15278
12015A 11 24 4388
12015C 00 00 0
12015E 00 80 128
120160 00 00 0
120162 01 00 256
120164 00 08 8
120166 A4 15 -23531
120168 CE 9B -12645
12016A 00 00 0
12016C 00 00 0
12016E 00 00 0
120170 00 00 0
120172 00 00 0
120174 00 00 0
120176 00 00 0
120178 00 00 0
12017A 00 00 0
12017C 00 00 0
12017E 00 00 0
120180 00 00 0
120182 00 00 0
120184 7E 20 32288
120186 4B 15 19221
120188 47 57 18263
12018A 09 05 2309
12018C 01 00 256
12018E 00 00 0
120190 00 00 0
120192 00 00 0
120194 00 12 18
120196 0B 86 2950
120198 00 12 18
12019A 0E 3E 3646
12019C 00 00 0
12019E 00 00 0
1201A0 00 00 0
1201A2 00 12 18
1201A4 47 22 18210
1201A6 1C 3F 7231
1201A8 B6 07 -18937
1201AA 00 12 18
1201AC 47 3E 18238
1201AE 00 00 0
1201B0 00 00 0
1201B2 00 12 18
1201B4 47 3E 18238
1201B6 00 00 0
1201B8 00 08 8
1201BA 04 82 1154
1201BC 00 00 0
1201BE 00 12 18
1201C0 0B 9A 2970
1201C2 00 12 18
1201C4 0E 62 3682
1201C6 00 00 0
1201C8 00 00 0
1201CA 00 00 0
1201CC 00 12 18
1201CE 59 3E 22846
1201D0 00 00 0
1201D2 00 00 0
1201D4 00 12 18
1201D6 59 4E 22862
1201D8 D6 D1 -10543
1201DA 4D 80 19840
1201DC 00 12 18
1201DE 59 4E 22862
1201E0 01 00 256
1201E2 00 08 8
1201E4 EA 20 -5600
1201E6 60 B6 24758
1201E8 00 00 0
1201EA 00 00 0
1201EC 00 00 0
1201EE 00 00 0
1201F0 00 00 0
1201F2 00 00 0
1201F4 00 00 0
1201F6 00 00 0
1201F8 00 00 0
1201FA 07 C0 1984
1201FC 00 00 0
1201FE 00 00 0
120200 00 00 0
120202 00 00 0
120204 73 11 29457
120206 2C 75 11381
120208 7F 35 32565
12020A 01 00 256
12020C 00 01 1
12020E 00 00 0
120210 00 00 0
120212 00 12 18
120214 0B AE 2990
120216 00 12 18
120218 0E AA 3754
12021A 00 00 0
12021C 00 00 0
12021E 00 00 0
120220 00 00 0
120222 00 00 0
120224 D1 44 -11964
120226 0C 65 3173
120228 23 00 8960
12022A 00 4D 77
12022C 00 00 0
12022E 00 02 2
120230 00 00 0
120232 00 08 8
120234 00 00 0
120236 00 08 8
120238 A3 20 -23776
12023A AC 86 -21370
12023C 00 00 0
12023E 00 00 0
120240 00 00 0
120242 00 00 0
120244 00 00 0
120246 00 00 0
120248 00 00 0
12024A 00 00 0
12024C 00 00 0
12024E 00 80 128
120250 00 00 0
120252 00 00 0
120254 9A 82 -25982
120256 00 D0 208
120258 CD 16 -13034
12025A 40 90 16528
12025C 00 00 0
12025E 00 12 18
120260 65 46 25926
120262 00 00 0
120264 63 68 25448
120266 00 12 18
120268 29 12 10514
12026A 00 12 18
12026C 29 12 10514
12026E 53 4C 21324
120270 41 56 16726
120272 45 20 17696
120274 54 45 21573
120276 53 54 21332
120278 3A 20 14880
12027A 43 4F 17231
12027C 4E 56 20054
12027E 45 52 17746
120280 47 45 18245
120282 4E 43 20035
120284 45 00 17664
120286 00 00 0
120288 00 00 0
12028A 00 00 0
12028C 00 00 0
12028E 00 00 0
120290 00 00 0
120292 00 00 0
120294 00 00 0
120296 00 00 0
120298 00 00 0
12029A 00 00 0
12029C 00 00 0
12029E 00 00 0
1202A0 00 00 0
1202A2 00 00 0
1202A4 00 00 0
1202A6 00 00 0
1202A8 00 00 0
1202AA 00 00 0
1202AC 00 00 0
1202AE 00 00 0
1202B0 00 00 0
1202B2 00 00 0
1202B4 00 00 0
1202B6 00 00 0
1202B8 00 00 0
1202BA 00 00 0
1202BC 00 00 0
1202BE 00 00 0
1202C0 00 00 0
1202C2 00 00 0
1202C4 00 00 0
1202C6 00 00 0
1202C8 00 00 0
1202CA 00 00 0
1202CC 00 00 0
1202CE 00 00 0
1202D0 00 00 0
1202D2 00 00 0
1202D4 00 00 0
1202D6 00 00 0
1202D8 00 00 0
1202DA 00 00 0
1202DC 00 00 0
1202DE 00 00 0
1202E0 00 00 0
1202E2 00 00 0
1202E4 00 00 0
1202E6 00 00 0
1202E8 00 00 0
1202EA 00 00 0
1202EC 00 00 0
1202EE 00 00 0
1202F0 00 00 0
1202F2 00 00 0
1202F4 00 00 0
1202F6 00 00 0
1202F8 00 00 0
1202FA 00 00 0
1202FC 00 00 0
1202FE 00 00 0
120300 00 00 0
120302 00 00 0
120304 00 00 0
120306 00 00 0
120308 00 00 0
12030A 00 00 0
12030C 00 00 0
12030E 00 00 0
120310 00 00 0
120312 00 00 0
120314 00 00 0
120316 00 00 0
120318 00 00 0
12031A 00 00 0
12031C 00 00 0
12031E 00 00 0
120320 00 00 0
120322 00 00 0
120324 00 00 0
120326 00 00 0
120328 56 45 22085
12032A 52 3F 21055
12032C 20 20 8224
12032E 20 45 8261
120330 78 70 30832
120332 65 63 25955
120334 74 65 29797
120336 64 20 25632
120338 63 6F 25455
12033A 6D 6D 28013
12033C 61 6E 24942
12033E 64 20 25632
120340 68 65 26725
120342 61 64 24932
120344 65 72 25970
120346 2E 00 11776
120348 00 00 0
12034A 00 00 0
12034C 00 00 0
12034E 00 00 0
120350 00 00 0
120352 00 00 0
120354 00 00 0
120356 00 00 0
120358 00 00 0
12035A 00 00 0
12035C 00 00 0
12035E 00 00 0
120360 00 00 0
120362 00 00 0
120364 00 00 0
120366 00 00 0
120368 00 00 0
12036A 00 00 0
12036C 00 00 0
12036E 00 00 0
120370 00 00 0
120372 00 00 0
120374 00 00 0
120376 00 00 0
120378 00 00 0
12037A 00 00 0
12037C 00 00 0
12037E 00 00 0
120380 00 00 0
120382 00 00 0
120384 00 00 0
120386 00 00 0
120388 00 00 0
12038A 00 00 0
12038C 00 00 0
12038E 00 00 0
120390 00 00 0
120392 00 00 0
120394 00 00 0
120396 00 00 0
120398 00 00 0
12039A 00 00 0
12039C 00 00 0
12039E 00 00 0
1203A0 00 00 0
1203A2 00 00 0
1203A4 00 00 0
1203A6 00 00 0
1203A8 00 00 0
1203AA 00 00 0
1203AC 00 00 0
1203AE 00 00 0
1203B0 00 00 0
1203B2 00 00 0
1203B4 00 00 0
1203B6 00 00 0
1203B8 00 00 0
1203BA 00 00 0
1203BC 00 00 0
1203BE 00 00 0
1203C0 00 00 0
1203C2 00 00 0
1203C4 00 00 0
1203C6 00 00 0
1203C8 00 00 0
1203CA 00 00 0
1203CC 00 00 0
1203CE 00 00 0
1203D0 00 00 0
1203D2 00 00 0
1203D4 00 00 0
1203D6 00 00 0
1203D8 00 00 0
1203DA 00 00 0
1203DC 00 00 0
1203DE 00 00 0
1203E0 00 00 0
1203E2 00 00 0
1203E4 00 00 0
1203E6 00 00 0
1203E8 00 00 0
1203EA 00 00 0
1203EC 00 00 0
1203EE 00 00 0
1203F0 00 00 0
1203F2 00 00 0
1203F4 00 00 0
1203F6 00 00 0
1203F8 00 00 0
1203FA 00 00 0
1203FC 00 00 0
1203FE 00 00 0
120400 00 00 0
120402 00 00 0
120404 00 00 0
120406 00 00 0
120408 00 00 0
12040A 00 00 0
12040C 00 00 0
12040E 00 00 0
120410 00 00 0
120412 00 00 0
120414 00 00 0
120416 00 00 0
120418 00 00 0
12041A 00 00 0
12041C 00 00 0
12041E 00 00 0
120420 00 00 0
120422 00 00 0
120424 00 00 0
120426 00 00 0
120428 00 00 0
12042A 00 00 0
12042C 00 00 0
12042E 00 00 0
120430 00 00 0
120432 00 00 0
120434 00 00 0
120436 00 00 0
120438 00 00 0
12043A 00 00 0
12043C 00 00 0
12043E 00 00 0
120440 00 00 0
120442 00 00 0
120444 00 00 0
120446 00 00 0
120448 00 00 0
12044A 00 00 0
12044C 00 00 0
12044E 00 00 0
120450 00 00 0
120452 00 00 0
120454 00 00 0
120456 00 00 0
120458 00 00 0
12045A 00 00 0
12045C 00 00 0
12045E 00 00 0
120460 00 00 0
120462 00 00 0
120464 00 00 0
120466 00 00 0
120468 00 00 0
12046A 00 00 0
12046C 00 00 0
12046E 00 00 0
120470 00 00 0
120472 00 00 0
120474 00 00 0
120476 00 00 0
120478 00 00 0
12047A 00 00 0
12047C 00 00 0
12047E 00 00 0
120480 00 00 0
120482 00 00 0
120484 00 00 0
120486 00 00 0
120488 00 00 0
12048A 00 00 0
12048C 00 00 0
12048E 00 00 0
120490 00 00 0
120492 00 00 0
120494 00 00 0
120496 00 00 0
120498 00 00 0
12049A 00 00 0
12049C 00 00 0
12049E 00 00 0
1204A0 00 00 0
1204A2 00 00 0
1204A4 00 00 0
1204A6 00 00 0
1204A8 00 00 0
1204AA 00 00 0
1204AC 00 00 0
1204AE 00 00 0
1204B0 00 00 0
1204B2 00 00 0
1204B4 00 00 0
1204B6 00 00 0
1204B8 00 00 0
1204BA 00 00 0
1204BC 00 00 0
1204BE 00 00 0
1204C0 00 00 0
1204C2 00 00 0
1204C4 00 00 0
1204C6 00 00 0
1204C8 00 00 0
1204CA 00 00 0
1204CC 00 00 0
1204CE 00 00 0
1204D0 00 00 0
1204D2 00 00 0
1204D4 00 00 0
1204D6 00 00 0
1204D8 00 00 0
1204DA 00 00 0
1204DC 00 00 0
1204DE 00 00 0
1204E0 00 00 0
1204E2 00 00 0
1204E4 00 00 0
1204E6 00 00 0
1204E8 00 00 0
1204EA 00 00 0
1204EC 00 00 0
1204EE 00 00 0
1204F0 00 00 0
1204F2 00 00 0
1204F4 00 00 0
1204F6 00 00 0
1204F8 00 00 0
1204FA 00 00 0
1204FC 00 00 0
1204FE 00 00 0
120500 00 00 0
120502 00 00 0
120504 00 00 0
120506 00 00 0
120508 00 00 0
12050A 00 00 0
12050C 41 43 16707
12050E 41 4C 16716
120510 00 00 0
120512 00 00 0
120514 00 00 0
120516 00 00 0
120518 00 00 0
12051A 00 00 0
12051C 00 00 0
12051E 00 00 0
120520 00 00 0
120522 00 00 0
120524 00 00 0
120526 00 00 0
120528 00 00 0
12052A 00 00 0
12052C 00 00 0
12052E 00 00 0
120530 00 00 0
120532 00 00 0
120534 00 00 0
120536 00 00 0
120538 00 00 0
12053A 00 00 0
12053C 00 00 0
12053E 00 00 0
120540 00 00 0
120542 00 00 0
120544 00 00 0
120546 00 00 0
120548 00 00 0
12054A 00 00 0
12054C 00 00 0
12054E 00 00 0
120550 00 00 0
120552 00 00 0
120554 00 00 0
120556 00 00 0
120558 00 00 0
12055A 00 00 0
12055C 00 00 0
12055E 00 00 0
120560 00 00 0
120562 00 00 0
120564 00 00 0
120566 00 00 0
120568 00 00 0
12056A 00 00 0
12056C 00 00 0
12056E 00 00 0
120570 00 00 0
120572 00 00 0
120574 00 00 0
120576 00 00 0
120578 00 00 0
12057A 00 00 0
12057C 00 00 0
12057E 00 00 0
120580 00 00 0
120582 00 00 0
120584 00 00 0
120586 00 00 0
120588 00 00 0
12058A 00 00 0
12058C 00 00 0
12058E 00 00 0
120590 00 00 0
120592 00 00 0
120594 00 00 0
120596 00 00 0
120598 00 00 0
12059A 00 00 0
12059C 00 00 0
12059E 00 00 0
1205A0 00 00 0
1205A2 00 00 0
1205A4 00 00 0
1205A6 00 00 0
1205A8 00 00 0
1205AA 00 00 0
1205AC 00 00 0
1205AE 00 00 0
1205B0 00 00 0
1205B2 00 00 0
1205B4 00 00 0
1205B6 00 00 0
1205B8 00 00 0
1205BA 00 00 0
1205BC 00 00 0
1205BE 00 00 0
1205C0 00 00 0
1205C2 00 00 0
1205C4 00 00 0
1205C6 00 00 0
1205C8 00 00 0
1205CA 00 00 0
1205CC 00 00 0
1205CE 00 00 0
1205D0 00 00 0
1205D2 00 00 0
1205D4 00 00 0
1205D6 00 00 0
1205D8 00 00 0
1205DA 00 00 0
1205DC 00 00 0
1205DE 00 00 0
1205E0 00 00 0
1205E2 00 00 0
1205E4 00 00 0
1205E6 00 00 0
1205E8 00 00 0
1205EA 00 00 0
1205EC 00 00 0
1205EE 00 00 0
1205F0 00 00 0
1205F2 00 00 0
1205F4 00 00 0
1205F6 00 00 0
1205F8 00 00 0
1205FA 00 00 0
1205FC 00 00 0
1205FE 00 00 0
120600 00 00 0
120602 00 00 0
120604 00 00 0
120606 00 00 0
120608 00 00 0
12060A 00 00 0
12060C 00 00 0
12060E 1F E6 8166
120610 00 00 0
120612 00 00 0
120614 00 00 0
120616 00 00 0
120618 00 00 0
12061A 19 66 6502
12061C 00 00 0
12061E 00 00 0
120620 00 00 0
120622 00 00 0
120624 00 00 0
120626 00 00 0
120628 00 00 0
12062A 00 00 0
12062C 00 00 0
12062E 00 00 0
120630 00 00 0
120632 00 00 0
120634 00 00 0
120636 1D 8C 7564
120638 00 00 0
12063A 00 00 0
12063C 00 00 0
12063E 00 00 0
120640 00 00 0
120642 00 00 0
120644 00 00 0
120646 00 00 0
120648 00 00 0
12064A 00 00 0
12064C 00 00 0
12064E 00 00 0
120650 00 00 0
120652 21 7C 8572
120654 00 00 0
120656 00 00 0
120658 00 00 0
12065A 00 00 0
12065C 00 00 0
12065E 00 00 0
120660 00 00 0
120662 00 00 0
120664 00 00 0
120666 00 00 0
120668 00 00 0
12066A 00 00 0
12066C 00 00 0
12066E 00 00 0
120670 00 00 0
120672 00 00 0
120674 00 00 0
120676 00 00 0
120678 00 00 0
12067A 00 00 0
12067C 00 00 0
12067E 00 00 0
120680 00 00 0
120682 00 00 0
120684 00 00 0
120686 00 C6 198
120688 00 08 8
12068A 00 01 1
12068C 01 00 256
12068E 00 04 4
120690 01 01 257
120692 01 01 257
120694 00 00 0
120696 00 01 1
120698 00 01 1
12069A 07 02 1794
12069C 01 01 257
12069E 04 00 1024
1206A0 01 09 265
1206A2 01 01 257
1206A4 01 00 256
1206A6 01 00 256
1206A8 04 00 1024
1206AA 00 00 0
1206AC 00 41 65
1206AE 7F FF 32767
1206B0 18 06 6150
1206B2 40 F6 16630
1206B4 00 04 4
1206B6 00 00 0
1206B8 00 00 0
1206BA 00 01 1
1206BC 00 00 0
1206BE 00 01 1
1206C0 00 00 0
1206C2 00 00 0
1206C4 00 00 0
1206C6 00 04 4
1206C8 00 00 0
1206CA 09 89 2441
1206CC 00 00 0
1206CE 00 14 20
1206D0 00 1E 30
1206D2 84 80 -31616
1206D4 00 00 0
1206D6 00 00 0
1206D8 00 19 25
1206DA 6E 6E 28270
1206DC 00 00 0
1206DE 00 14 20
1206E0 00 00 0
1206E2 00 00 0
1206E4 00 00 0
1206E6 00 01 1
1206E8 2E 21 11809
1206EA 2E 93 11923
1206EC BF F0 -16400
1206EE 00 00 0
1206F0 00 00 0
1206F2 00 00 0
1206F4 00 00 0
1206F6 00 00 0
1206F8 00 00 0
1206FA 00 00 0
1206FC 00 00 0
1206FE 00 00 0
120700 00 00 0
120702 00 00 0
120704 3F F0 16368
120706 00 00 0
120708 00 00 0
12070A 00 00 0
12070C 40 49 16457
12070E 00 00 0
120710 00 00 0
120712 00 00 0
120714 3F F0 16368
120716 00 00 0
120718 00 00 0
12071A 00 00 0
12071C 3F F0 16368
12071E 00 00 0
120720 00 00 0
120722 00 00 0
120724 00 00 0
120726 00 00 0
120728 00 00 0
12072A 00 00 0
12072C 00 00 0
12072E 00 00 0
120730 00 00 0
120732 00 00 0
120734 00 0A 10
120736 FF FF -1
120738 FF FF -1
12073A 00 00 0
12073C 04 00 1024
12073E 0A 38 2616
120740 00 00 0
120742 00 02 2
120744 00 07 7
120746 01 00 256
120748 00 00 0
12074A 01 00 256
12074C 00 55 85
12074E 00 00 0
120750 00 00 0
120752 00 00 0
120754 00 00 0
120756 00 00 0
120758 00 00 0
12075A 00 00 0
12075C 01 78 376
12075E BF F0 -16400
120760 00 00 0
120762 00 00 0
120764 00 00 0
120766 00 01 1
120768 00 01 1
12076A 00 19 25
12076C 6E 6E 28270
12076E 00 00 0
120770 00 00 0
120772 14 BA 5306
120774 00 00 0
120776 00 83 131
120778 00 12 18
12077A 07 80 1920
12077C 00 12 18
12077E 07 86 1926
120780 53 48 21320
120782 4F 52 20306
120784 54 2C 21548
120786 46 55 18005
120788 4C 4C 19532
12078A 2C 00 11264
12078C 00 00 0
12078E 00 00 0
120790 00 00 0
120792 00 00 0
120794 00 00 0
120796 00 00 0
120798 00 00 0
12079A 00 00 0
12079C 00 00 0
12079E 00 00 0
1207A0 00 00 0
1207A2 00 00 0
1207A4 00 00 0
1207A6 00 00 0
1207A8 00 00 0
